rows=15
cols=15
(0, 0, -2)
(0, 1, 5)
(0, 3, 3)
(0, 4, -1)
(0, 5, 6)
(0, 6, -4)
(0, 7, 1)
(0, 9, 9)
(0, 10, -6)
(0, 11, 2)
(0, 12, -3)
(0, 13, 8)
(0, 14, 7)
(1, 0, 1)
(1, 1, -7)
(1, 2, 4)
(1, 4, 2)
(1, 5, -5)
(1, 6, 3)
(1, 7, -1)
(1, 8, 6)
(1, 9, -4)
(1, 11, 2)
(1, 12, 9)
(1, 13, -2)
(1, 14, 5)
(2, 1, 3)
(2, 2, -6)
(2, 3, 2)
(2, 4, 1)
(2, 5, 7)
(2, 6, -8)
(2, 8, 5)
(2, 9, -1)
(2, 10, 4)
(2, 11, -3)
(2, 12, 6)
(2, 13, -5)
(2, 14, 2)
(3, 0, 4)
(3, 1, -2)
(3, 2, 1)
(3, 4, -3)
(3, 5, 6)
(3, 6, -1)
(3, 7, 3)
(3, 8, -7)
(3, 9, 8)
(3, 10, -4)
(3, 11, 2)
(3, 12, 5)
(3, 13, -9)
(4, 0, 5)
(4, 1, 1)
(4, 2, -3)
(4, 3, 7)
(4, 4, -6)
(4, 6, 4)
(4, 7, -2)
(4, 8, 3)
(4, 9, 1)
(4, 10, -5)
(4, 11, 6)
(4, 12, -1)
(4, 14, -7)
(5, 1, -5)
(5, 2, 8)
(5, 3, 3)
(5, 4, -2)
(5, 5, 1)
(5, 6, -6)
(5, 7, 7)
(5, 8, 4)
(5, 9, -3)
(5, 11, -1)
(5, 12, 5)
(5, 13, 2)
(5, 14, -4)
(6, 0, 2)
(6, 1, -1)
(6, 2, 6)
(6, 3, -7)
(6, 4, 5)
(6, 6, 3)
(6, 7, -4)
(6, 8, 8)
(6, 9, 1)
(6, 10, -2)
(6, 12, -6)
(6, 13, 9)
(6, 14, -3)
(7, 0, -6)
(7, 1, 3)
(7, 2, 2)
(7, 3, 1)
(7, 5, -8)
(7, 6, 4)
(7, 7, 7)
(7, 8, -5)
(7, 9, 6)
(7, 11, -3)
(7, 12, 2)
(7, 13, 1)
(7, 14, -7)
(8, 0, 3)
(8, 2, -2)
(8, 3, 5)
(8, 4, -1)
(8, 5, 4)
(8, 6, 6)
(8, 7, -9)
(8, 8, 7)
(8, 9, -3)
(8, 10, 1)
(8, 12, -8)
(8, 13, 2)
(8, 14, 4)
(9, 0, -4)
(9, 1, 2)
(9, 2, 1)
(9, 3, -5)
(9, 5, 3)
(9, 6, -6)
(9, 7, 8)
(9, 8, 9)
(9, 9, -2)
(9, 10, 4)
(9, 11, -1)
(9, 12, 7)
(9, 13, -3)
(10, 0, 6)
(10, 1, -3)
(10, 2, 5)
(10, 3, 1)
(10, 4, -7)
(10, 5, 2)
(10, 6, 0)
(10, 7, -8)
(10, 8, 4)
(10, 9, 3)
(10, 10, -1)
(10, 12, 6)
(10, 13, 2)
(10, 14, -5)
(11, 0, -5)
(11, 1, 4)
(11, 3, 2)
(11, 4, -6)
(11, 5, 7)
(11, 6, -1)
(11, 8, 3)
(11, 9, -9)
(11, 10, 5)
(11, 11, 1)
(11, 12, -2)
(11, 13, 6)
(11, 14, 8)
(12, 0, 7)
(12, 1, -2)
(12, 2, 3)
(12, 3, -1)
(12, 4, 4)
(12, 6, 5)
(12, 7, -6)
(12, 8, 2)
(12, 9, 8)
(12, 10, -7)
(12, 12, 1)
(12, 13, -3)
(12, 14, 9)
(13, 1, -4)
(13, 2, 6)
(13, 3, 3)
(13, 4, -2)
(13, 5, 5)
(13, 6, -9)
(13, 7, 1)
(13, 8, -3)
(13, 10, 7)
(13, 11, 2)
(13, 12, -5)
(13, 13, 4)
(13, 14, -1)
(14, 0, 1)
(14, 1, 7)
(14, 2, -5)
(14, 4, 6)
(14, 5, -3)
(14, 6, 2)
(14, 7, 4)
(14, 8, -8)
(14, 9, 5)
(14, 11, -6)
(14, 12, 3)
(14, 13, 1)
(14, 14, -2)
